"name","median_t","t_quant_2.5","t_quant_97.5","median_wide","wide_quant_2.5","wide_quant_97.5","median_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"A.BEDENE",0.414398694010089,0.348615261430484,0.479937781392543,0.43790803377411,0.375627005103504,0.504566807368953,0.144004793561234,0.0920770489732082,0.212180975169912,"Men",1,90
"A.BUBLIK",0.451205630185031,0.407793628690902,0.496817005637276,0.379406689340215,0.336006627501794,0.422015857915004,0.168605375051672,0.135616031004089,0.207808724170035,"Men",2,335
"A.HOANG",0.452934342230023,0.391924896337841,0.520576062583303,0.368370888853105,0.307572373189115,0.425207109381521,0.175453331266395,0.122055752000105,0.242633362481389,"Men",1,115
"A.MANNARINO",0.443204714855869,0.382396791399993,0.507215060110168,0.413481045740652,0.350951290267427,0.47628970367028,0.139844424354308,0.0930434894369028,0.200393173281543,"Men",1,115
"A.MURRAY",0.49278090356858,0.425073925434309,0.560405901531206,0.383564702779774,0.321865600001376,0.444920142676459,0.122359939772869,0.0777224124664803,0.178643508239521,"Men",1,120
"A.RUBLEV",0.485321344815348,0.441628661130127,0.531063337850403,0.421336361516624,0.376203832066776,0.46630582379087,0.0916915073864933,0.0653120930421548,0.123405091797759,"Men",2,313
"A.ZVEREV",0.471627548899351,0.441583817000171,0.501260676875424,0.401393312991049,0.371982547971471,0.432359436170771,0.126376983493828,0.107390881479911,0.148102912666189,"Men",7,955
"B.PAIRE",0.409997251182205,0.372131140508618,0.448862430390451,0.433389400022788,0.391778881629854,0.471742918910721,0.155979793190955,0.125807156341963,0.188677237132281,"Men",2,463
"C.RUUD",0.452079196879227,0.40138624616473,0.502077716745419,0.43374652645467,0.384048494664687,0.484189251586182,0.114202256894913,0.0813003002229603,0.152948771027074,"Men",2,232
"D.ALTMAIER",0.406806522640807,0.359298816553257,0.456320262030927,0.457812663300694,0.408581447559548,0.509270073945776,0.134896422919585,0.100392689303432,0.176491215923353,"Men",2,271
"D.GOFFIN",0.448902037557633,0.40151913945063,0.497737464649654,0.441813195088565,0.39166725987741,0.493250672186196,0.108361261283404,0.0773611555756558,0.145633657004881,"Men",2,248
"D.KOEPFER",0.329470633761574,0.27295260997958,0.390579917926616,0.352124959231314,0.289027977628488,0.415074298851527,0.317307278279215,0.245582923319317,0.396887884646133,"Men",1,133
"D.MEDVEDEV",0.444718510269289,0.383832906433053,0.507871364680447,0.401654678086149,0.34442134146679,0.458604768244355,0.15167391922857,0.103884965287038,0.211128169303019,"Men",1,135
"D.NOVAK",0.412012446732088,0.349168051144548,0.470695320283103,0.428140367959377,0.372997572807072,0.48815667092969,0.158251042971177,0.111170358332085,0.218045051047132,"Men",1,134
"D.SCHWARTZMAN",0.437252671666249,0.395222307938485,0.477634595281911,0.439698485435585,0.400327013427873,0.480714445658646,0.122135764115139,0.0951483311453264,0.15162337434571,"Men",3,452
"D.SHAPOVALOV",0.406755071711038,0.36254197346184,0.44747293581706,0.479926217745434,0.439226839448357,0.524351255952591,0.113073246999751,0.0851387989460812,0.145463592421492,"Men",2,396
"D.THIEM",0.411651930730306,0.389673436094331,0.43465295550663,0.477160421695941,0.453549210001352,0.49941878545233,0.111344459684931,0.0970631959044062,0.126351903149449,"Men",12,1714
