"name","median_t","mean_t","sd_t","t_quant_2.5","t_quant_97.5","median_wide","mean_wide","sd_wide","wide_quant_2.5","wide_quant_97.5","median_body","mean_body","sd_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"A.BEDENE",0.415077096293126,0.415295727830484,0.0335583924023201,0.348673744765128,0.480688873987093,0.438287292620411,0.438592901532027,0.0334678938915478,0.374532777759643,0.504519898926064,0.144450280754858,0.146111370637488,0.0294982977045228,0.0931048142091632,0.20917160626465,"Men",1,90
"A.BUBLIK",0.450393750223431,0.450701631398055,0.0239583564315061,0.405331822238472,0.497902201261211,0.379602936759159,0.379596125411844,0.0223559154971859,0.335643264309662,0.423335843238226,0.169319901549041,0.169702243190102,0.0197849619368104,0.132735166956841,0.210971840859545,"Men",2,335
"A.HOANG",0.453135275624795,0.453864832800098,0.0332308741554876,0.389211995525971,0.521853221437221,0.368214287914002,0.367811579499821,0.0314583287798849,0.3052266185551,0.427773297418642,0.176415954580068,0.178323587700081,0.0316823777202739,0.120495361529126,0.245530869120369,"Men",1,115
"A.MANNARINO",0.444247011450391,0.444435814319541,0.0314129207741846,0.383446382730119,0.507724215381601,0.4133750607419,0.413558449284819,0.0295384918482231,0.356533225273764,0.473672998949577,0.139868236851714,0.14200573639564,0.0276327538395222,0.0930305480617976,0.20147904897664,"Men",1,115
"A.MURRAY",0.490856402681284,0.491668036056478,0.0336903445796959,0.429788823226731,0.559570216571809,0.384415617174576,0.384051836816578,0.0316639724366131,0.320237538402608,0.446164544838747,0.122707512183941,0.124280127126944,0.0258280672398876,0.0778778674592212,0.180220992834447,"Men",1,120
"A.RUBLEV",0.485941355543543,0.485835879611512,0.0242475820525373,0.437131794966557,0.53300547304351,0.421167463282499,0.421403633458307,0.0235446689461739,0.37613098937136,0.467866574373421,0.092394725058648,0.0927604869301811,0.0150381595066754,0.0656476906991685,0.123680851132922,"Men",2,313
"A.ZVEREV",0.472113153358624,0.472089974757773,0.0151883685051525,0.442156821589982,0.501420428451997,0.401185979144731,0.401300638277085,0.0150477913742358,0.371297393314943,0.430579444570871,0.12628491834771,0.126609386965141,0.0106091322700408,0.107222980440551,0.147928575915842,"Men",7,955
"B.PAIRE",0.409326691108691,0.409558821374117,0.019793998038367,0.370644288965741,0.448133308014629,0.433228055227389,0.433627931817797,0.0201716204503011,0.394710382254659,0.473284411652318,0.15641892912314,0.156813246808086,0.0159024786802402,0.127388543440242,0.190169604381375,"Men",2,463
"C.RUUD",0.45116766411379,0.451477182255913,0.0257372680341221,0.40203649661194,0.503034515231045,0.432857428882174,0.433129255917953,0.0253954731780822,0.383096810249591,0.482416990668826,0.114474298094928,0.115393561826135,0.018695558209009,0.0813164952643439,0.154967687657737,"Men",2,232
"D.ALTMAIER",0.406547235845976,0.406628999199361,0.0252765796751719,0.356988847993481,0.455959332671321,0.457656505739897,0.458019044876577,0.0248020371182936,0.409246555874341,0.505709322149159,0.134507056261804,0.135351955924062,0.0194769113425418,0.0999146790268081,0.176852894249277,"Men",2,271
"D.GOFFIN",0.448662758504174,0.448742954679284,0.0260934335014751,0.39709751129297,0.500811514918716,0.441733904076955,0.441991388982622,0.0256709829789556,0.392455480246466,0.492864593197353,0.108476733610387,0.109265656338094,0.018257911599119,0.0767254137004456,0.147840706690957,"Men",2,248
"D.KOEPFER",0.328387430191749,0.328692639310513,0.0298533900606935,0.271460449123078,0.387662685937218,0.352507068297777,0.353670263923501,0.0307522055462414,0.29583818599217,0.414259841082787,0.316481641426069,0.317637096765986,0.0374866987071966,0.246475154083613,0.393776820514476,"Men",1,133
"D.MEDVEDEV",0.445336888421039,0.445580509090237,0.0313534548069226,0.385443195565398,0.507805237299695,0.401552565372624,0.401425565031966,0.0302312522120289,0.342301169848808,0.461756843139678,0.151507118994642,0.152993925877797,0.0266299396375335,0.105254091078859,0.209582558893936,"Men",1,135
"D.NOVAK",0.411639104938665,0.411190016226296,0.0303474643135818,0.352049065879869,0.471355060630879,0.427458716317123,0.428086996101888,0.0300190497324946,0.370225185333689,0.486911109358537,0.15891714842471,0.160722987671816,0.028103031868401,0.110319868891174,0.219058244384496,"Men",1,134
"D.SCHWARTZMAN",0.438589259766932,0.438632249026736,0.020592956550817,0.399989339728524,0.480304323407423,0.438900956370894,0.439070579928138,0.0197178881527266,0.399737156842196,0.478073324848646,0.121646761533098,0.122297171045127,0.0143287696989262,0.096102158445867,0.151523826476711,"Men",3,452
"D.SHAPOVALOV",0.405568377530041,0.405802081126477,0.0217455314120575,0.363709049182247,0.447726690925582,0.480128243954064,0.480550325042804,0.0223694044165862,0.43813529443943,0.524484580130188,0.113339809852339,0.113647593830718,0.0150988890651672,0.0858139873566212,0.1444649778904,"Men",2,396
"D.THIEM",0.41192879177676,0.411906407759567,0.0113364789488327,0.389696568210983,0.433729355480343,0.476453554933723,0.476454974651213,0.0116015273194904,0.45366672907587,0.499972037646182,0.111411067065034,0.11163861758922,0.00764352107211431,0.0969470019093015,0.126882523695058,"Men",12,1714
"DE.GALAN",0.491025749783076,0.492179226785308,0.0324258618168043,0.430398584927218,0.557573723891746,0.434926848899342,0.435131694985947,0.0308184528102678,0.374620879152903,0.49742699550214,0.0708829206147924,0.0726890782287453,0.0186892240044324,0.0408723130025703,0.113249831894889,"Men",1,120
"E.GERASIMOV",0.452193945998189,0.452186117735017,0.0331533788977865,0.387814384358822,0.517862333448539,0.450205406532215,0.450800276715749,0.0324123834784091,0.388876057557417,0.516142116528928,0.0951495150153921,0.0970136055492336,0.0234660333294218,0.0557223144097305,0.147986824976981,"Men",1,103
"F.FOGNINI",0.403803169316069,0.404078707406421,0.0274478415056444,0.35097308046298,0.460727903004277,0.419853062667124,0.420012458785146,0.0270818364271413,0.367989113463419,0.473918796610296,0.17476933312568,0.175908833808432,0.0254995437860135,0.128859402705909,0.228343938321281,"Men",2,181
"F.KRAJINOVIC",0.434110018936026,0.434726290316874,0.0310298409349177,0.376149728896441,0.496954367632952,0.407360305681163,0.406892125361327,0.0295675925984185,0.347737765518192,0.464914390628943,0.157212869628345,0.158381584321799,0.0285778848346809,0.106662898137492,0.218288949092594,"Men",1,130
"G.DIMITROV",0.410552129939839,0.410273367798901,0.0306262373121383,0.348719215605122,0.469546805468314,0.455925979953851,0.456482165319723,0.0307393440540824,0.399397587000833,0.520529349950547,0.131638529025229,0.133244466881376,0.0245968317818919,0.0898458970093825,0.185460069951298,"Men",1,134
"G.MONFILS",0.417861323892948,0.417577411649823,0.0180693373529242,0.382187531511762,0.453409575521464,0.430044689069909,0.430166923920899,0.0183345545066525,0.39507787997301,0.466305640640717,0.152100333279168,0.152255664429278,0.0140797455805338,0.126307804856714,0.180548988031518,"Men",5,597
"G.SIMON",0.431488949923068,0.431613460740604,0.0267203272266495,0.379177748687987,0.484827415017962,0.458319334776326,0.458544889630853,0.026459636134306,0.407155358879871,0.510583818302103,0.108912600670154,0.109841649628543,0.0186208667351417,0.0754915714306208,0.14821241098463,"Men",1,220
"H.GASTON",0.433442578828476,0.43352990872056,0.0209333218013167,0.392995553460832,0.474307434053101,0.422067223931608,0.421978926791996,0.0201185714120223,0.383239697586041,0.461765898120371,0.144075919843557,0.144491164487444,0.0156513564665843,0.114930310935215,0.176626104744574,"Men",2,430
"H.LAAKSONEN",0.439289243485298,0.439581286559288,0.0313920781493686,0.380171345070232,0.503409424960629,0.409858002878488,0.409519707986213,0.0307353619653096,0.347369574158046,0.470297994979613,0.149208436706068,0.1508990054545,0.0283660206739125,0.0984972885070172,0.210745443729075,"Men",1,112
"J.CHARDY",0.380636043323884,0.380674036602287,0.0255880332723109,0.331699297838885,0.432367643082128,0.388166877812035,0.387907725891067,0.025692419642422,0.33845023398847,0.437729218736849,0.230358568665881,0.231418237506646,0.0262858913143647,0.182621679079642,0.284884662234645,"Men",1,232
"J.DELPOTRO",0.514312791590866,0.51400577167505,0.0261334288614158,0.463124177724648,0.564315599357371,0.348015234315033,0.34789321876877,0.0247914895650987,0.298169410350871,0.395737128595754,0.137179233194159,0.13810100955618,0.019487163061407,0.102461867710898,0.178991668589193,"Men",2,275
"J.LONDERO",0.446659495609599,0.447710774239398,0.0349636759641754,0.37933260108211,0.517986257808058,0.417701674404694,0.418066581955192,0.0327248512824482,0.356312391519047,0.483787967443028,0.132109892511234,0.134222643805411,0.0290691431578271,0.0828944137528104,0.197424979357149,"Men",1,94
